S.No.,Company,Ticker,,
145,Regency Centers Corporation,REG,,
146,Resource Capital Corp.,RSO,,
147,"Retail Properties of America, Inc.",RPAI,,
148,"Rexford Industrial Realty, Inc.",REXR,,
149,RLJ Lodging Trust,RLJ,,
150,"Ryman Hospitality Properties, Inc.",RHP,,
151,"Saul Centers, Inc.",BFS,,
152,Silver Bay Realty Trust Corp.,SBY,,
153,"Simon Property Group, Inc.",SPG,,
154,SL Green Realty Corporation,SLG,,
155,"Stag Industrial, Inc.",STAG,,
156,"STARWOOD PROPERTY TRUST, INC.",STWD,,
157,STORE Capital Corporation,STOR,,
158,"Summit Hotel Properties, Inc.",INN,,
159,"Sun Communities, Inc.",SUI,,
160,Sutherland Asset Management Corporation,SLD,,
161,"Tanger Factory Outlet Centers, Inc.",SKT,,
162,"Taubman Centers, Inc.",TCO,,
163,"TIER REIT, Inc.",TIER,,
164,"Transcontinental Realty Investors, Inc.",TCI,,
165,Two Harbors Investments Corp,TWO,,
166,"UMH Properties, Inc.",UMH,,
167,"United Dominion Realty Trust, Inc.",UDR,,
168,Universal Health Realty Income Trust,UHT,,
169,Urstadt Biddle Properties Inc.,UBA,,
170,Urstadt Biddle Properties Inc.,UBP,,
171,"Ventas, Inc.",VTR,,
172,VEREIT Inc.,VER,,
173,Vornado Realty Trust,VNO,,
174,W.P. Carey Inc.,WPC,,
175,Washington Prime Group Inc.,WPG,,
176,Weingarten Realty Investors,WRI,,
177,Welltower Inc.,HCN,,
178,Western Asset Mortgage Capital Corporation,WMC,,
179,Weyerhaeuser Company,WY,,
180,Whitestone REIT,WSR,,
